id,content_moid,title,short_node_id,start_time,end_time,stall_time,stall_count,prepare_time,play_duration,event_data,context,browser,browser_ver,os,os_ver
1,0f39d60643904224ab5706212f097375,All Hands Meeting,kPNH+nd3cG5RvweY,11/17/2016 18:12,11/17/2016 18:14,8289,6,5172,144598,:6:3246:3:5172:2:11590:6:11609:3:13416:3:13962:3:29056:3:44317:3:59458:2:69609:6:69628:3:71373:3:74515:2:83192:6:83216:3:85001:2:89509:6:89542:3:91322:3:104630:2:105392:6:105409:6:105619:6:106676:6:106967:3:107496:2:112129:6:112165:6:112338:6:113351:6:113673:6:114817:6:115063:3:115706:3:119664:3:134731:99:149770,mc,ie,11,windows,7
2,0f39d60643904224ab5706212f097375,All Hands Meeting,tdkG+nd3cG5RvweY,11/17/2016 18:16,11/17/2016 18:18,3962,4,2302,231579,:6:572:3:2302:3:13408:3:28644:3:43731:3:58832:3:73855:3:88917:3:103944:3:109018:2:114734:6:114771:6:116200:3:116481:2:121497:6:121516:6:123245:3:123386:3:124203:3:139215:2:151798:6:151813:3:153602:3:154342:3:169542:2:175516:6:175532:3:177283:3:184734:3:199755:3:214766:3:229942:99:233881,mc,ie,11,windows,7
3,0f39d60643904224ab5706212f097375,All Hands Meeting,rTf1k7QB9SqI7Gdh,11/17/2016 18:18,11/17/2016 19:01,1786,1,2713,2558262,:6:787:3:2713:3:13921:3:29025:3:44260:3:59354:3:74601:3:89676:3:104894:3:119954:3:134962:3:150203:3:165243:3:180289:3:188565:3:203603:3:218672:3:233714:3:248733:3:263843:3:278874:3:293916:3:308935:3:324008:3:339029:3:354066:3:369077:3:384125:3:399168:3:414320:3:429354:3:444408:3:459445:3:474682:3:488925:3:503965:3:519213:3:534215:3:549229:3:564277:3:579316:3:594355:3:609399:3:624444:3:639487:3:654527:3:669569:3:684588:3:699596:3:714645:3:729688:3:744725:3:759768:3:774814:3:789106:3:804145:3:819189:3:834235:3:849275:3:864316:3:879385:3:894461:3:909501:3:924547:3:939560:3:954656:3:969704:3:984746:3:999782:3:1014830:3:1029870:3:1045118:3:1060167:3:1075172:3:1089219:3:1104319:3:1119344:3:1134379:3:1149444:3:1164525:3:1179648:3:1194753:3:1209827:3:1224977:3:1240006:3:1255110:3:1270123:3:1285201:3:1300284:3:1315414:3:1330485:3:1345587:3:1360760:3:1375787:3:1389353:3:1404435:3:1419471:3:1434699:3:1449919:3:1464990:3:1480076:3:1495211:3:1510378:3:1525446:3:1540615:3:1555768:3:1570965:3:1586022:3:1601027:3:1616050:3:1631116:3:1646236:3:1661261:3:1676438:3:1689592:3:1704624:3:1719789:3:1734869:3:1750009:3:1765112:3:1780162:3:1795273:3:1810328:3:1825446:3:1840523:3:1855647:3:1870742:3:1885828:3:1900919:3:1916054:3:1931224:3:1946325:3:1961381:3:1976468:3:1989767:3:2004824:3:2019909:3:2034956:3:2050120:3:2065222:3:2080307:3:2095419:3:2110505:3:2125697:3:2140734:3:2155851:3:2170983:3:2186223:3:2201407:3:2216588:3:2231686:3:2246810:3:2261949:3:2277114:3:2289949:3:2305032:3:2320163:2:2331325:6:2331358:3:2333144:3:2335290:3:2350329:3:2365445:3:2380527:3:2395527:3:2410535:3:2425543:3:2440648:3:2455792:3:2470803:3:2485900:3:2501036:3:2516149:3:2531258:3:2546337:99:2560975,mc,ie,11,windows,7
4,0f39d60643904224ab5706212f097375,All Hands Meeting,qcmnjO+T+2EGeKjh,11/17/2016 18:22,11/17/2016 18:59,1741,1,2451,2270953,:6:573:3:2451:3:13442:3:28634:3:43677:3:58715:3:73726:3:88775:3:103783:3:119026:3:134064:3:149114:3:158418:3:173434:3:188473:3:203545:3:218615:3:233655:3:248704:3:263747:3:278785:3:293850:3:309099:3:324135:3:339175:3:354416:3:369659:3:384726:3:399765:3:414834:3:429885:3:444925:3:458732:3:473818:3:488915:3:503976:3:519117:3:534236:3:549280:3:564377:3:579447:3:594555:3:609648:3:624772:3:639927:3:655069:3:670238:3:685278:3:700402:3:715530:3:730598:3:745697:3:759071:3:774099:3:789237:3:804434:3:819580:3:834701:3:849857:3:864984:3:880218:3:895300:3:910447:3:925559:3:940727:3:955830:3:971016:3:986108:3:1001216:3:1016338:3:1031433:3:1046508:3:1059169:3:1074284:3:1089458:3:1104564:3:1119743:3:1134935:3:1150037:3:1165079:3:1180259:3:1195321:3:1210457:3:1225527:3:1240673:3:1255691:3:1270814:3:1285832:3:1301022:3:1316188:3:1331214:3:1346452:3:1359433:3:1374544:3:1389574:3:1404808:3:1419997:3:1435157:3:1450310:3:1465531:3:1480560:3:1495804:3:1510929:3:1526055:3:1541132:3:1556313:3:1571527:3:1586650:3:1601859:3:1617039:3:1632126:3:1647231:3:1659530:3:1674643:3:1689772:3:1704817:3:1720021:3:1735154:3:1750195:3:1765328:3:1780395:3:1795516:3:1810625:3:1825721:3:1840821:3:1856032:3:1871075:3:1886113:3:1901221:3:1916366:2:1922906:6:1922943:3:1924684:3:1931547:3:1946591:3:1959649:3:1974662:3:1989705:3:2004944:3:2019955:3:2035044:3:2050044:3:2065066:3:2080247:3:2095394:3:2110458:3:2125709:3:2140794:3:2155819:3:2171057:3:2186241:3:2201398:3:2216529:3:2231649:3:2246785:3:2259818:3:2274827:99:2277633,mc,ie,11,windows,7
5,0f39d60643904224ab5706212f097375,All Hands Meeting,uFcBPhL7zavflF0s,11/17/2016 18:25,11/17/2016 20:02,8849,2,2540,5728709,:6:793:3:2540:3:12123:3:27227:3:42240:3:57320:3:72361:3:87434:3:102478:3:117490:3:123509:3:138539:3:153601:3:168640:3:183708:3:198844:3:213914:3:228987:3:244034:3:259161:3:274363:3:289453:3:304703:3:319703:3:334706:3:349747:3:364986:3:380026:3:395059:3:410141:3:423668:3:438711:3:453747:3:468836:3:483923:3:498945:3:514187:3:529235:3:544244:3:559326:3:574518:3:589530:3:604786:3:620010:3:635175:3:650251:3:665318:3:680401:3:695499:3:710576:3:723850:3:738897:3:754103:3:769146:3:784274:3:799413:3:814497:3:829519:3:844686:3:859869:3:874954:3:890006:3:905223:3:920457:3:935589:3:950778:3:965779:3:980842:3:996062:3:1011149:3:1024074:3:1039314:3:1054397:3:1069595:3:1084743:3:1099935:3:1114938:3:1130142:3:1145335:3:1160349:3:1175501:3:1190582:3:1205648:3:1220859:3:1235964:3:1251086:3:1266314:3:1281395:3:1296638:3:1311724:3:1324266:3:1339383:3:1354399:3:1369630:3:1384867:3:1400071:3:1415113:3:1430149:3:1445254:3:1460369:3:1475575:3:1490756:3:1505861:3:1520934:3:1536152:3:1551342:3:1566386:3:1581630:3:1596883:3:1611915:3:1624507:3:1639576:3:1654754:3:1670007:3:1685064:3:1700217:3:1715384:3:1730589:3:1745789:3:1760885:3:1775981:3:1791108:3:1806273:3:1821474:3:1836659:3:1851747:3:1866788:3:1881828:3:1896880:3:1911950:3:1924771:3:1939843:3:1954863:3:1969934:3:1985004:3:2000046:3:2015073:3:2030258:3:2045338:3:2060418:2:2062311:6:2062339:3:2064040:3:2075511:3:2090571:3:2105667:3:2120868:3:2135964:3:2151112:3:2166295:3:2181426:3:2196655:3:2211746:3:2224878:3:2240007:3:2255090:3:2270319:3:2285437:3:2300655:3:2315721:3:2330811:3:2345893:3:2361022:3:2376111:3:2391145:3:2406354:3:2421547:3:2436758:3:2451835:3:2466941:3:2482149:3:2497327:3:2512383:3:2525085:3:2540092:3:2555189:3:2570341:3:2585516:3:2600750:3:2615845:3:2630895:3:2646078:3:2661120:3:2676229:3:2691260:3:2706438:3:2721520:3:2736706:3:2751836:3:2767007:3:2782088:3:2797303:3:2812412:3:2825315:3:2840498:3:2855602:3:2870697:3:2885852:3:2900956:3:2916110:3:2931321:3:2946544:3:2961775:3:2976984:3:2992090:3:3007095:3:3022119:3:3037250:3:3052265:3:3067296:3:3082465:3:3097475:3:3112558:3:3125417:3:3140501:3:3155725:3:3170932:3:3186006:3:3201146:3:3216212:3:3231461:3:3246651:3:3261754:3:3276891:3:3292135:3:3307175:3:3322285:3:3337336:3:3352432:3:3367669:3:3382887:3:3397897:3:3412914:3:3425674:3:3440677:3:3455680:3:3470868:3:3485797:3:3500954:3:3515962:3:3531216:3:3546396:3:3561499:3:3576607:3:3591730:3:3606822:3:3621908:3:3636966:3:3652020:3:3667018:3:3682140:3:3697247:3:3712424:3:3725919:3:3741146:3:3756355:3:3771433:3:3786595:3:3801745:3:3816942:3:3832147:3:3847159:3:3862361:3:3877359:3:3892510:3:3907614:3:3922726:3:3937786:3:3952898:3:3967950:3:3983051:3:3998292:3:4013423:3:4026064:3:4041129:3:4056188:3:4071371:3:4086441:3:4101652:3:4116718:3:4131761:3:4146779:3:4161799:3:4176850:3:4191863:3:4206951:3:4222188:3:4237245:3:4252282:3:4267522:3:4282588:3:4297825:3:4313075:3:4326357:3:4341399:3:4356464:3:4371516:3:4386758:3:4401812:3:4416820:3:4431842:3:4446894:3:4461937:3:4476997:3:4491997:3:4507011:3:4522129:3:4537177:3:4552409:3:4567431:3:4582683:3:4597731:3:4612778:3:4626531:3:4641576:3:4656578:3:4671620:3:4686662:3:4701740:3:4716868:3:4731996:3:4747175:3:4762403:3:4777668:3:4792790:3:4807984:3:4823062:3:4838064:3:4853285:3:4868355:3:4883401:3:4898490:3:4913727:3:4926812:3:4942060:3:4957074:3:4972100:3:4987198:3:5002436:3:5017672:3:5032893:3:5047937:3:5063039:3:5078219:3:5093298:3:5108364:3:5123581:3:5138595:3:5153651:3:5168875:3:5184133:3:5199268:3:5214450:3:5226932:3:5242079:3:5257231:3:5272258:3:5287268:3:5302317:3:5317468:3:5332601:3:5347650:3:5362862:3:5377979:3:5393192:3:5408217:3:5423295:3:5438309:3:5453353:3:5468402:3:5483630:3:5498674:3:5513743:3:5527231:3:5542312:3:5557442:3:5572463:3:5587555:3:5602764:3:5617821:3:5633049:3:5648153:3:5663170:3:5678399:3:5693610:3:5708799:3:5723807:2:5735518:6:5735680:6:5752435:99:5759583,mc,ie,11,windows,7
